1-minute intervals
RoadID;Direction;Minute;Avg speed (km/h);Max speed (km/h);Flow (cars/min);Density (cars/km);% Congestion
 0;1;  0; 51; 50; 2.00; 4.00;  0
 0;1;  1; 50; 50; 2.00; 4.00;  0
 0;1;  2; 50; 50; 5.00; 8.00;  0
 0;1;  3; 49; 50; 3.00; 8.00;  1
 0;1;  4; 50; 50; 7.00;16.00;  0
 0;1;  5; 50; 50; 8.00; 2.00;  0
 0;1;  6; 50; 50; 1.00; 4.00;  0
 0;1;  7; 50; 50; 4.00;12.00;  0
 0;1;  8; 50; 50; 5.00; 8.00;  0
 0;1;  9; 50; 50; 2.00; 8.00;  0
 0;1; 10; 50; 50; 4.00; 4.00;  0
 0;1; 11; 50; 50; 4.00;10.00;  0
 0;1; 12; 51; 50; 3.00; 6.00;  0
 0;1; 13; 51; 50; 2.00; 8.00;  0
 0;1; 14; 49; 50; 5.00; 6.00;  2
 0;1; 15; 48; 50; 3.00; 8.00;  3
 0;1; 16; 46; 50; 3.00; 4.00;  8
 0;1; 17; 39; 50; 2.00; 2.00; 22
 1;1;  0; 50; 50; 1.00; 6.00;  0
 1;1;  1; 50; 50; 3.00; 0.00;  0
 1;1;  2; 51; 50; 3.00;12.00;  0
 1;1;  3; 48; 50; 6.00; 6.00;  3
 1;1;  4; 49; 50; 3.00; 6.00;  1
 1;1;  5; 50; 50; 2.00; 6.00;  0
 1;1;  6; 50; 50; 4.00; 4.00;  0
 1;1;  7; 49; 50; 2.00; 8.00;  2
 1;1;  8; 50; 50; 3.00; 6.00;  0
 1;1;  9; 50; 50; 9.00;14.00;  0
 1;1; 10; 51; 50; 4.00;10.00;  0
 1;1; 11; 51; 50; 4.00; 8.00;  0
 1;1; 12; 51; 50; 4.00;14.00;  0
 1;1; 13; 50; 50; 6.00;20.00;  0
 1;1; 14; 51; 50; 3.00;10.00;  0
 1;1; 15; 50; 50; 2.00; 8.00;  0
 1;1; 16; 51; 50; 2.00; 8.00;  0
 1;1; 17; 50; 50; 1.00; 8.00;  0
 2;1;  0; 50; 50; 6.00;14.00;  0
 2;1;  1; 51; 50; 7.00;10.00;  0
 2;1;  2; 48; 50; 5.00; 8.00;  3
 2;1;  3; 36; 50; 1.00; 4.00; 28
 2;1;  4; 40; 50; 3.00; 6.00; 19
 2;1;  5; 50; 50; 3.00; 2.00;  0
 2;1;  6; 43; 50; 2.00; 6.00; 13
 2;1;  7; 51; 50; 4.00;10.00;  0
 2;1;  8; 50; 50; 3.00; 4.00;  0
 2;1;  9; 51; 50; 4.00; 8.00;  0
 2;1; 10; 51; 50; 2.00; 4.00;  0
 2;1; 11; 50; 50; 2.00; 2.00;  0
 2;1; 12; 50; 50; 3.00; 8.00;  0
 2;1; 13; 51; 50; 5.00;12.00;  0
 2;1; 14; 33; 50; 1.00; 4.00; 33
 2;1; 15; 48; 50;10.00; 8.00;  3
 2;1; 16; 51; 50; 4.00; 2.00;  0
 3;1;  0; 51; 50; 2.00; 0.00;  0
 3;1;  1; 50; 50; 5.00; 6.00;  0
 3;1;  2; 50; 50; 4.00;14.00;  0
 3;1;  3; 50; 50; 7.00;10.00;  0
 3;1;  4; 48; 50; 1.00; 6.00;  3
 3;1;  5; 49; 50; 8.00;12.00;  1
 3;1;  6; 50; 50; 4.00; 0.00;  0
 3;1;  7; 50; 50; 4.00; 8.00;  0
 3;1;  8; 50; 50; 3.00; 8.00;  0
 3;1;  9; 51; 50; 2.00; 4.00;  0
 3;1; 10; 50; 50; 4.00; 4.00;  0
 3;1; 11; 51; 50; 3.00; 6.00;  0
 3;1; 12; 50; 50; 3.00;12.00;  0
 3;1; 13; 51; 50; 4.00; 6.00;  0
 3;1; 14; 50; 50; 2.00; 4.00;  0
 3;1; 15; 50; 50; 6.00; 6.00;  0
 3;1; 16; 47; 50; 4.00; 6.00;  5
 3;1; 17; 34; 50; 1.00; 2.00; 31
 4;1;  0; 50; 50; 3.00;10.00;  0
 4;1;  1; 45; 50; 3.00; 6.00; 10
 4;1;  2; 50; 50; 2.00; 0.00;  0
 4;1;  3; 50; 50; 2.00;10.00;  0
 4;1;  4; 50; 50; 5.00;12.00;  0
 4;1;  5; 49; 50; 4.00; 8.00;  2
 4;1;  6; 49; 50; 3.00; 8.00;  2
 4;1;  7; 50; 50; 2.00; 0.00;  0
 4;1;  8; 51; 50; 3.00; 6.00;  0
 4;1;  9; 51; 50; 3.00; 4.00;  0
 4;1; 10; 49; 50; 2.00; 8.00;  1
 4;1; 11; 50; 50; 4.00; 6.00;  0
 4;1; 12; 49; 50; 3.00; 0.00;  1
 4;1; 13; 50; 50; 5.00; 6.00;  0
 4;1; 14; 50; 50; 7.00;12.00;  0
 4;1; 15; 50; 50; 2.00; 4.00;  0
 4;1; 16; 50; 50; 1.00; 6.00;  0
 4;1; 17; 48; 50; 1.00; 2.00;  3
 5;1;  1; 51; 50; 3.00; 6.00;  0
 5;1;  2; 50; 50; 6.00; 8.00;  0
 5;1;  3; 50; 50; 4.00; 6.00;  0
 5;1;  4; 50; 50; 4.00;10.00;  0
 6;1;  0; 51; 50; 0.00; 2.00;  0
 6;1;  1; 51; 50; 1.00; 2.00;  0
 6;1;  2; 48; 50; 2.00; 4.00;  3
 6;1;  3; 47; 50; 5.00; 6.00;  5
 6;1;  4; 51; 50; 2.00; 4.00;  0
 7;1;  1; 42; 50; 3.00; 6.00; 15
 7;1;  2; 49; 50; 2.00; 4.00;  1
 7;1;  3; 51; 50; 3.00;18.00;  0
 7;1;  4; 49; 50; 6.00;20.00;  1
 7;1;  5; 45; 50; 6.00;24.00;  9
 7;1;  6; 16; 50; 0.00;22.00; 68
 7;1;  7; 16; 50; 1.00;24.00; 68
 7;1;  8; 29; 50; 3.00;26.00; 42
 7;1;  9;  7; 50; 1.00;26.00; 86
 7;1; 10;  5; 50; 1.00;28.00; 90
 7;1; 11;  2; 50; 0.00;28.00; 96
 7;1; 12;  0; 50; 0.00;28.00;100
 7;1; 13;  3; 50; 1.00;30.00; 93
 7;1; 14; 11; 50; 2.00;30.00; 77
 7;1; 15;  0; 50; 0.00;30.00;100
 7;1; 16;  0; 50; 0.00;30.00;100
 7;1; 17;  0; 50; 0.00;30.00;100
 7;1; 18;  0; 50; 0.00;30.00;100
 7;1; 19;  0; 50; 0.00;30.00;100
 7;1; 20;  0; 50; 0.00;30.00;100
 7;1; 21;  0; 50; 0.00;30.00;100
 7;1; 22;  0; 50; 0.00;30.00;100
 7;1; 23;  0; 50; 0.00;30.00;100
 7;1; 24;  0; 50; 0.00;30.00;100
 7;1; 25;  0; 50; 0.00;30.00;100
 7;1; 26;  0; 50; 0.00;30.00;100
 7;1; 27;  0; 50; 0.00;30.00;100
 7;1; 28;  0; 50; 0.00;30.00;100
 7;1; 29;  0; 50; 0.00;30.00;100
 8;1;  0; 50; 50; 0.00; 2.00;  0
 8;1;  1; 44; 50; 1.00; 0.00; 12
 8;1;  2; 48; 50; 1.00; 4.00;  4
 8;1;  3; 50; 50; 2.00; 4.00;  0
 8;1;  5; 49; 50; 3.00;10.00;  1
 8;1;  6; 50; 50; 3.00;10.00;  0
 8;1;  7; 51; 50; 1.00;12.00;  0
 8;1;  8; 50; 50; 0.00;14.00;  0
 8;1;  9; 49; 50; 1.00;14.00;  2
 8;1; 14; 51; 50; 0.00;16.00;  0
 8;1; 15; 49; 50; 1.00;16.00;  2
 8;1; 17; 47; 50; 1.00;18.00;  6
 9;1;  0; 51; 50; 0.00; 2.00;  0
 9;1;  1; 50; 50; 2.00; 6.00;  0
 9;1;  2; 50; 50; 3.00; 6.00;  0
 9;1;  3; 49; 50; 2.00; 4.00;  2
 9;1;  4; 50; 50; 3.00; 6.00;  0
 9;1;  5; 49; 50; 3.00; 2.00;  1
 9;1;  6; 50; 50; 2.00; 0.00;  0
 9;1;  7; 49; 50; 1.00; 2.00;  2
 9;1;  8; 50; 50; 2.00; 6.00;  0
 9;1;  9; 50; 50; 3.00; 4.00;  0
 9;1; 10; 50; 50; 2.00; 2.00;  0
 9;1; 11; 51; 50; 2.00; 2.00;  0
 9;1; 12; 51; 50; 1.00; 2.00;  0
